,Unnamed: 0,category,filename,label,shard_iid,shard_non_iid
0,18,Black-grass,train/Black-grass/0fe440ed5.png,0,1,1
1,137,Black-grass,train/Black-grass/89f06ca64.png,0,6,1
2,231,Black-grass,train/Black-grass/e2b2a20b2.png,0,7,1
3,167,Black-grass,train/Black-grass/a8ab1ff26.png,0,7,1
4,188,Black-grass,train/Black-grass/b937353c0.png,0,2,1
5,238,Black-grass,train/Black-grass/e7d7e6351.png,0,7,1
6,162,Black-grass,train/Black-grass/a53088ca0.png,0,9,1
7,47,Black-grass,train/Black-grass/3002e5d9d.png,0,0,1
8,101,Black-grass,train/Black-grass/6172f64fd.png,0,0,1
9,222,Black-grass,train/Black-grass/da5082ce2.png,0,1,1
10,8,Black-grass,train/Black-grass/0b228a6b8.png,0,2,1
11,64,Black-grass,train/Black-grass/3ff68fa8a.png,0,6,1
12,28,Black-grass,train/Black-grass/1a125880e.png,0,2,1
13,25,Black-grass,train/Black-grass/163e571a6.png,0,2,1
14,16,Black-grass,train/Black-grass/0dad57e7f.png,0,5,1
15,36,Black-grass,train/Black-grass/22be204a3.png,0,1,1
16,232,Black-grass,train/Black-grass/e47987eab.png,0,0,1
17,89,Black-grass,train/Black-grass/550dfcb36.png,0,2,1
18,157,Black-grass,train/Black-grass/a1cb5a321.png,0,4,1
19,0,Black-grass,train/Black-grass/0050f38b3.png,0,0,1
20,165,Black-grass,train/Black-grass/a7d2b005e.png,0,6,1
21,124,Black-grass,train/Black-grass/7f84c8699.png,0,0,1
22,241,Black-grass,train/Black-grass/eac39cfa8.png,0,7,1
23,185,Black-grass,train/Black-grass/b504c071f.png,0,6,1
24,2,Black-grass,train/Black-grass/0260cffa8.png,0,0,1
25,33,Black-grass,train/Black-grass/20d4fab57.png,0,9,1
26,98,Black-grass,train/Black-grass/5e4d1ee0d.png,0,8,1
27,6,Black-grass,train/Black-grass/082314602.png,0,3,1
28,95,Black-grass,train/Black-grass/5d358beb9.png,0,2,1
29,29,Black-grass,train/Black-grass/1af1eddd3.png,0,2,1
30,48,Black-grass,train/Black-grass/31958c132.png,0,8,1
31,139,Black-grass,train/Black-grass/9052e3e7f.png,0,7,1
32,191,Black-grass,train/Black-grass/bab8eb04a.png,0,3,1
33,97,Black-grass,train/Black-grass/5e21fa6f1.png,0,7,1
34,110,Black-grass,train/Black-grass/6e027ec7d.png,0,1,1
35,148,Black-grass,train/Black-grass/983663c56.png,0,9,1
36,223,Black-grass,train/Black-grass/daa7d4620.png,0,6,1
37,136,Black-grass,train/Black-grass/898ecfa78.png,0,8,1
38,5,Black-grass,train/Black-grass/078eae073.png,0,4,1
39,73,Black-grass,train/Black-grass/470608aba.png,0,6,1
40,159,Black-grass,train/Black-grass/a26cb8017.png,0,4,1
41,14,Black-grass,train/Black-grass/0d28c429b.png,0,7,1
42,104,Black-grass,train/Black-grass/686132594.png,0,1,1
43,106,Black-grass,train/Black-grass/6a19547c5.png,0,6,1
44,121,Black-grass,train/Black-grass/7b72b398d.png,0,5,1
45,164,Black-grass,train/Black-grass/a6f939a8b.png,0,4,1
46,258,Black-grass,train/Black-grass/f84089a55.png,0,3,1
47,58,Black-grass,train/Black-grass/3b7d1fe82.png,0,9,1
48,99,Black-grass,train/Black-grass/5e65dbdd7.png,0,7,1
49,32,Black-grass,train/Black-grass/20b2cbaed.png,0,0,1
50,158,Black-grass,train/Black-grass/a20b64ac6.png,0,4,1
51,166,Black-grass,train/Black-grass/a87fd277c.png,0,9,1
52,60,Black-grass,train/Black-grass/3de7650a2.png,0,6,1
53,259,Black-grass,train/Black-grass/fab809601.png,0,1,1
54,91,Black-grass,train/Black-grass/595e77ddf.png,0,3,1
55,170,Black-grass,train/Black-grass/aa5bb06a1.png,0,6,1
56,187,Black-grass,train/Black-grass/b790f7be5.png,0,8,1
57,49,Black-grass,train/Black-grass/31f2766cb.png,0,4,1
58,242,Black-grass,train/Black-grass/ebd2350df.png,0,5,1
59,146,Black-grass,train/Black-grass/963dbc831.png,0,2,1
60,43,Black-grass,train/Black-grass/2ed589264.png,0,6,1
61,190,Black-grass,train/Black-grass/b9e36fa79.png,0,4,1
62,7,Black-grass,train/Black-grass/0ace21089.png,0,8,1
63,250,Black-grass,train/Black-grass/f20bf670a.png,0,1,1
64,94,Black-grass,train/Black-grass/5c405ae2d.png,0,2,1
65,82,Black-grass,train/Black-grass/4f0dcbcc3.png,0,1,1
66,229,Black-grass,train/Black-grass/df2e6e002.png,0,2,1
67,205,Black-grass,train/Black-grass/c999c3095.png,0,8,1
68,27,Black-grass,train/Black-grass/173cec485.png,0,6,1
69,219,Black-grass,train/Black-grass/d622ca3d2.png,0,3,1
70,203,Black-grass,train/Black-grass/c66bab8b6.png,0,2,1
71,141,Black-grass,train/Black-grass/91a175741.png,0,1,1
72,78,Black-grass,train/Black-grass/4a7e7eba8.png,0,5,1
73,38,Black-grass,train/Black-grass/260c4eed3.png,0,2,1
74,220,Black-grass,train/Black-grass/d8afd58f3.png,0,1,1
75,114,Black-grass,train/Black-grass/71f6e3227.png,0,5,1
76,154,Black-grass,train/Black-grass/a0405de4d.png,0,3,1
77,216,Black-grass,train/Black-grass/d3ff1a639.png,0,9,1
78,55,Black-grass,train/Black-grass/39e9bf4c7.png,0,3,1
79,149,Black-grass,train/Black-grass/9959fb099.png,0,8,1
80,249,Black-grass,train/Black-grass/f0a7c51a2.png,0,5,1
81,202,Black-grass,train/Black-grass/c3b38d028.png,0,8,1
82,234,Black-grass,train/Black-grass/e5a6e8ebc.png,0,9,1
83,61,Black-grass,train/Black-grass/3e9ef1999.png,0,6,1
84,175,Black-grass,train/Black-grass/ac56bd408.png,0,8,1
85,208,Black-grass,train/Black-grass/cc90c662f.png,0,1,1
86,256,Black-grass,train/Black-grass/f7f671785.png,0,5,1
87,54,Black-grass,train/Black-grass/37d85d833.png,0,1,1
88,11,Black-grass,train/Black-grass/0be707615.png,0,7,1
89,3,Black-grass,train/Black-grass/05eedce4d.png,0,8,1
90,51,Black-grass,train/Black-grass/332f68a21.png,0,4,1
91,10,Black-grass,train/Black-grass/0bb75ded8.png,0,9,1
92,143,Black-grass,train/Black-grass/93f68d1a9.png,0,2,1
93,153,Black-grass,train/Black-grass/a03bc7b24.png,0,6,1
94,66,Black-grass,train/Black-grass/418808d19.png,0,2,1
95,192,Black-grass,train/Black-grass/bac2710a2.png,0,0,1
96,65,Black-grass,train/Black-grass/40bf7be90.png,0,4,1
97,257,Black-grass,train/Black-grass/f82d13d23.png,0,9,1
98,132,Black-grass,train/Black-grass/86dfe670c.png,0,5,1
99,103,Black-grass,train/Black-grass/675a6956e.png,0,9,1
100,70,Black-grass,train/Black-grass/448a59eac.png,0,7,1
101,235,Black-grass,train/Black-grass/e5f50d22a.png,0,0,1
102,77,Black-grass,train/Black-grass/4a3b96198.png,0,0,1
103,34,Black-grass,train/Black-grass/2269e0a1e.png,0,9,1
104,197,Black-grass,train/Black-grass/c0cbaa32c.png,0,6,1
105,198,Black-grass,train/Black-grass/c11422bb2.png,0,9,1
106,133,Black-grass,train/Black-grass/87dd8ebac.png,0,1,1
107,196,Black-grass,train/Black-grass/c025e2886.png,0,2,1
108,127,Black-grass,train/Black-grass/807f9b257.png,0,3,1
109,105,Black-grass,train/Black-grass/69ad6773e.png,0,9,1
110,199,Black-grass,train/Black-grass/c1a625098.png,0,9,1
111,45,Black-grass,train/Black-grass/2f0ae1b34.png,0,1,1
112,81,Black-grass,train/Black-grass/4e1cb1e27.png,0,0,1
113,40,Black-grass,train/Black-grass/279ac215b.png,0,0,1
114,52,Black-grass,train/Black-grass/34a672a63.png,0,7,1
115,20,Black-grass,train/Black-grass/129c51855.png,0,2,1
116,35,Black-grass,train/Black-grass/228d8ad5c.png,0,3,1
117,129,Black-grass,train/Black-grass/840a7ed59.png,0,2,1
118,41,Black-grass,train/Black-grass/28a707630.png,0,2,1
119,247,Black-grass,train/Black-grass/ed540beb6.png,0,8,1
120,230,Black-grass,train/Black-grass/e0380dff9.png,0,4,1
121,251,Black-grass,train/Black-grass/f39ddbe0a.png,0,1,1
122,225,Black-grass,train/Black-grass/dca86daba.png,0,7,1
123,119,Black-grass,train/Black-grass/77629b9e3.png,0,5,1
124,117,Black-grass,train/Black-grass/765a69082.png,0,8,1
125,80,Black-grass,train/Black-grass/4cf922aea.png,0,0,1
126,118,Black-grass,train/Black-grass/775735fb9.png,0,5,1
127,169,Black-grass,train/Black-grass/a8de8a80a.png,0,9,1
128,9,Black-grass,train/Black-grass/0b3e7a7a9.png,0,6,1
129,44,Black-grass,train/Black-grass/2ee4dad8c.png,0,4,1
130,215,Black-grass,train/Black-grass/d3e69adad.png,0,3,1
131,152,Black-grass,train/Black-grass/9e99f6a34.png,0,1,1
132,195,Black-grass,train/Black-grass/bf5662989.png,0,3,1
133,184,Black-grass,train/Black-grass/b4b8b1507.png,0,0,1
134,76,Black-grass,train/Black-grass/498269666.png,0,4,1
135,68,Black-grass,train/Black-grass/429a48df1.png,0,0,1
136,233,Black-grass,train/Black-grass/e4af651a3.png,0,5,1
137,4,Black-grass,train/Black-grass/075d004bc.png,0,5,1
138,13,Black-grass,train/Black-grass/0d1a9985f.png,0,2,1
139,42,Black-grass,train/Black-grass/2aa60045d.png,0,8,1
140,59,Black-grass,train/Black-grass/3dc08a0f7.png,0,8,1
141,151,Black-grass,train/Black-grass/9e2bfa93d.png,0,3,1
142,260,Black-grass,train/Black-grass/fb487c5a4.png,0,9,1
143,50,Black-grass,train/Black-grass/32d97b170.png,0,5,1
144,75,Black-grass,train/Black-grass/495cebacf.png,0,6,1
145,1,Black-grass,train/Black-grass/0183fdf68.png,0,7,1
146,130,Black-grass,train/Black-grass/84e43f2ff.png,0,6,1
147,72,Black-grass,train/Black-grass/461feacba.png,0,3,1
148,147,Black-grass,train/Black-grass/97cbef805.png,0,4,1
149,226,Black-grass,train/Black-grass/dcbd3fa08.png,0,1,1
150,212,Black-grass,train/Black-grass/d0ad9c78b.png,0,1,1
151,206,Black-grass,train/Black-grass/c9f6ffa0c.png,0,9,1
152,115,Black-grass,train/Black-grass/72fd52505.png,0,4,1
153,253,Black-grass,train/Black-grass/f47390401.png,0,0,1
154,172,Black-grass,train/Black-grass/ab787fb46.png,0,1,1
155,24,Black-grass,train/Black-grass/163c13912.png,0,7,1
156,67,Black-grass,train/Black-grass/42336b187.png,0,9,1
157,26,Black-grass,train/Black-grass/16c69a6d8.png,0,3,1
158,102,Black-grass,train/Black-grass/6182bd48c.png,0,9,1
159,194,Black-grass,train/Black-grass/befaed3e4.png,0,5,1
160,210,Black-grass,train/Black-grass/cfbe062b3.png,0,3,1
